기준년월,	HSK품목코드,	수출입구분코드,	수산물수출입품목명,	수출입구분명,	당월 수출입중량,	당월 수출입미화금액,	당해 누계 수출입중량,	당해 누계 수출입미화금액,	데이터기준일자	
'202002','0106903010','E','갯지렁이','수출','29','1349','29','1349','20200229'
'202002','0301992000','E','방어(활어)','수출','28','726','84','1917','20200229'
'202002','0301994090','E','돔(기타)','수출','292','5102','715','13449','20200229'
'202002','0301995000','E','붕장어(활어)','수출','129006','1263203','280369','2856721','20200229'
'202002','0301998000','E','넙치(활어)','수출','215523','2593685','443810','5425633','20200229'
'202002','0301999010','E','능성어(활어)','수출','492','4883','536','6238','20200229'
'202002','0301999020','E','복어(활어)','수출','1376','32957','3516','93818','20200229'
'202002','0301999040','E','볼락(적어포함/활어)','수출','3287','47029','7587','118996','20200229'
'202002','0301999060','E','숭어(활어)','수출','2183','32318','4529','66313','20200229'
'202002','0301999070','E','미꾸라지(활어)','수출','47','1069','104','2369','20200229'
'202002','0301999091','E','노래미(활어)','수출','0','0','810','960','20200229'
'202002','0301999095','E','민어(활어)','수출','0','0','1000','6245','20200229'
'202002','0301999099','E','기타어류(활어)','수출','741','20756','5699','59511','20200229'
'202002','0302140000','E','대서양 연어(신선 또는 냉장)(살모 살라) 및 다뉴브 연어(후코 후코)','수출','1071','22951','2172','49026','20200229'
'202002','0302210000','E','넙치(간장/ 어란제외/신선/ 냉장/피레트/ 어육제외)','수출','16103','203910','41514','456406','20200229'
'202002','0302230000','E','서대 솔레아종(신선/냉장)','수출','0','0','10','173','20200229'
'202002','0302240000','E','터벗(신선 또는 냉장)(프세타 맥시마)','수출','1598','38963','3110','76518','20200229'
'202002','0302290000','E','기타 넙치류(간장/ 어란제외/신선/ 냉장/피레트/ 어육제외)','수출','2519','10705','32939','75573','20200229'
'202002','0302340000','E','눈다랑어(터너스오베서스/신선/냉장)','수출','0','0','493','4190','20200229'
'202002','0302390000','E','기타(신선/냉장)','수출','117','471','1020','2552','20200229'
'202002','0302410000','E','청어(신선 또는 냉장)(클루페아 하렌구스/클루페아 팔라시)','수출','0','0','72476','46266','20200229'
'202002','0302420000','E','멸치(신선 또는 냉장)(엔그라울리스종)','수출','0','0','53','291','20200229'
'202002','0302491000','E','삼치[스콤버로모러스(Scomberomorus)종]','수출','831','6721','1910','16156','20200229'
'202002','0302492000','E','병어[팜푸스(Pampus)종]','수출','160','4062','340','9157','20200229'
